Threads,Raw_Time,Smoothed_Time
243,0.016,0.0186191
244,0.0190001,0.0187619
245,0.0190001,0.0186667
246,0.02,0.0187619
247,0.0180001,0.0187619
248,0.0220001,0.0187143
249,0.0189998,0.0187619
250,0.0170002,0.0186191
251,0.02,0.0188096
252,0.02,0.0187619
253,0.0179999,0.0188096
254,0.0210001,0.0191905
255,0.016,0.0190476
256,0.0190001,0.0190953
257,0.0190001,0.0189048
258,0.0179999,0.0189048
259,0.0190001,0.0187143
260,0.017,0.0187143
261,0.0220001,0.0189048
262,0.017,0.0187143
263,0.0190001,0.0185714
264,0.0239999,0.0185715
265,0.016,0.018381
266,0.02,0.0185714
267,0.016,0.0185714
268,0.0179999,0.0185714
269,0.0180001,0.0186667
270,0.0190001,0.0187143
271,0.0209999,0.0188095
272,0.016,0.0186191
273,0.017,0.0186667
274,0.0180001,0.0187143
275,0.017,0.0184286
276,0.02,0.0184286
277,0.0190001,0.0183333
278,0.0189998,0.0184762
279,0.02,0.0185714
280,0.0200002,0.0186191
281,0.0189998,0.0185238
282,0.0180001,0.018381
283,0.0179999,0.0185238
284,0.02,0.0185714
285,0.0180001,0.018619
286,0.016,0.0188095
287,0.0180001,0.018619
288,0.0189998,0.0187619
289,0.02,0.018619
290,0.0190001,0.0185714
291,0.017,0.0185238
292,0.0179999,0.0185714
293,0.0190001,0.0184762
294,0.0179999,0.0185238
295,0.0190001,0.018381
296,0.0209999,0.0184286
297,0.016,0.0185238
298,0.0220001,0.0185714
299,0.0159998,0.0186667
300,0.0190001,0.0185714
301,0.0190001,0.0186191
302,0.02,0.0185714
303,0.016,0.0187143
304,0.0190001,0.0187143
305,0.017,0.0187143
306,0.0190001,0.0186667
307,0.0179999,0.0184762
308,0.0190001,0.0185238
309,0.0209999,0.0184286
310,0.0180001,0.0185715
311,0.02,0.0185715
312,0.0159998,0.0186667
313,0.0210001,0.0184762
314,0.0190001,0.0186191
315,0.0179999,0.0185714
316,0.0180001,0.0186667
317,0.0170002,0.0187619
318,0.017,0.0186667
319,0.02,0.0186667
320,0.0190001,0.0187143
321,0.0190001,0.0186667
322,0.0209999,0.0186191
323,0.016,0.0187143
324,0.0190001,0.0187143
325,0.0179999,0.0186667
326,0.0190001,0.0188572
327,0.0209999,0.0189048
328,0.016,0.0189524
329,0.0190001,0.0191429
330,0.0220001,0.0189048
331,0.017,0.0189524
332,0.0190001,0.0189048
333,0.0179999,0.0187143
334,0.0210001,0.0189524
335,0.0180001,0.0189524
336,0.0219998,0.0190476
337,0.0190001,0.0190953
338,0.0180001,0.0190476
339,0.0209999,0.0190953
340,0.0150001,0.0191905
341,0.02,0.019
342,0.0180001,0.019
343,0.017,0.0189524
344,0.0209999,0.0190953
345,0.0190001,0.019
346,0.02,0.0191429
347,0.02,0.0189524
348,0.02,0.0189048
349,0.017,0.0189524
350,0.0209999,0.0188572
351,0.0180001,0.0190953
352,0.017,0.0190953
353,0.0180001,0.0192381
354,0.0209999,0.0192381
355,0.0190001,0.0191429
356,0.0209999,0.0192381
357,0.0180001,0.0195714
358,0.0179999,0.0194762
359,0.0190001,0.0194286
360,0.0190001,0.0195714
361,0.02,0.0209048
362,0.02,0.0212381
363,0.0209999,0.0211429
364,0.0170002,0.0210952
365,0.0189998,0.0208095
366,0.0210001,0.0207143
367,0.027,0.0204762
368,0.0179999,0.0205238
369,0.0190001,0.0204286
370,0.02,0.0203333
371,0.0489998,0.0202381
372,0.0250001,0.0200952
373,0.0149999,0.0199048
374,0.017,0.0196667
375,0.0149999,0.0196667
376,0.0170002,0.0196667
377,0.016,0.0194762
378,0.0190001,0.0189524
379,0.016,0.019
380,0.017,0.0188572
381,0.017,0.0187619
382,0.017,0.0173334
383,0.016,0.0169048
384,0.016,0.0169524
385,0.017,0.0170476
386,0.0190001,0.0171905
387,0.017,0.0170953
388,0.016,0.0171905
389,0.0190001,0.0170952
390,0.016,0.0171429
391,0.0179999,0.0171429
392,0.0190001,0.0171905
393,0.016,0.0172381
394,0.016,0.0173333
395,0.0189998,0.0173333
396,0.0180001,0.0174286
397,0.0150001,0.0172857
398,0.0179999,0.0173333
399,0.017,0.0174762
400,0.017,0.0174286
401,0.0170002,0.0174286
402,0.0179999,0.017381
403,0.0180001,0.0172381
404,0.0179999,0.0172857
405,0.016,0.0174286
406,0.0190001,0.0172857
407,0.016,0.0172381
408,0.0179999,0.0172857
409,0.0190001,0.0173333
410,0.0179999,0.0173333
411,0.016,0.0171905
412,0.017,0.0170476
413,0.016,0.0170953
414,0.017,0.0172381
415,0.0190001,0.0170953
416,0.016,0.0171429
417,0.017,0.0169524
418,0.016,0.017
419,0.0190001,0.0169048
420,0.017,0.0168095
421,0.0140002,0.0167619
422,0.0139999,0.0167619
423,0.0190001,0.0168572
424,0.0209999,0.0169048
425,0.0150001,0.0168572
426,0.017,0.0167619
427,0.0150001,0.0168096
428,0.017,0.0168572
429,0.016,0.0167619
430,0.017,0.0167143
431,0.0170002,0.0168096
432,0.0159998,0.0170476
433,0.0190001,0.0171905
434,0.017,0.0170476
435,0.016,0.0168572
436,0.017,0.0169524
437,0.0170002,0.0169048
438,0.0179999,0.017
439,0.0140002,0.017
440,0.0179999,0.0170953
441,0.0190001,0.0171429
442,0.0190001,0.0172857
443,0.017,0.0172857
444,0.016,0.0171429
445,0.017,0.0174286
446,0.017,0.0174762
447,0.016,0.0174286
448,0.017,0.017381
449,0.017,0.0172381
450,0.0179999,0.0173333
451,0.0180001,0.0172857
452,0.02,0.0171905
453,0.016,0.0171429
454,0.016,0.0171429
455,0.023,0.0172381
456,0.017,0.0172381
457,0.016,0.0172381
458,0.016,0.0173333
459,0.0150001,0.0171905
460,0.0159998,0.0172857
461,0.0170002,0.0171905
462,0.017,0.0171905
463,0.0179999,0.0170476
464,0.017,0.0170476
465,0.0180001,0.0171905
466,0.017,0.0171905
467,0.017,0.0171429
468,0.0180001,0.0171905
469,0.0139999,0.0173333
470,0.0190001,0.0175238
471,0.0159998,0.0175715
472,0.0179999,0.0175238
473,0.0170002,0.0175238
474,0.0159998,0.0174762
475,0.0190001,0.0175715
476,0.023,0.0174762
477,0.016,0.0175715
478,0.017,0.0176191
479,0.0190001,0.0175714
480,0.0190001,0.0177619
481,0.0170002,0.0177619
482,0.016,0.0177619
483,0.017,0.0177619
484,0.017,0.0177619
485,0.0190001,0.0178096
486,0.016,0.0177619
487,0.0190001,0.0174762
488,0.0179999,0.0176667
489,0.017,0.017762
490,0.0180001,0.0176667
491,0.0190001,0.0177619
492,0.016,0.0178572
493,0.0180001,0.0179048
